NULL;Diretoria de Portos e Costas;DPC;RJ;Rebocador;2
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Balsa;11
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Barcaça;4
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Bote;2363
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Caiaque;1
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Canoa;343
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Chata;4
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Draga;23
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Escuna;89
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Flutuante;24
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Hovercraft;1
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Iate;2
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Jangada;1
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Jet Boat;5
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Lançador de Linhas;1
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Lancha;1200
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Moto-Aquática/similar;194
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Multicasco (Catamarã, Trimarã, Tetramarã, etc);26
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Outros;480
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Passageiro;4
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Pesqueiro;18
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Saveiro;47
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Traineira;152
"1º ";Agência da Capitania dos Portos em Paraty;AGPRTI;RJ;Veleiro;197
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Apoio a Mergulho;2
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Balsa;8
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Bote;672
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Caiaque;21
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Canoa;1636
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Carga Geral;1
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Chata;2
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Draga;21
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Escuna;3
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Flutuante;4
"1º ";Agência da Capitania dos Portos em São João da Barra;AGSJBA;RJ;Jangada;1
