tipo;2012;2019;2023;2025
Bote;184491;268815;289577;334947
Lancha;169962;219672;233076;266839
Moto-Aquática/similar;71524;105713;118403;160992
Outros;137830;137830;136870;136406
Canoa;33912;50088;51812;58781
Pesqueiro;24193;28728;29956;31595
Chata;15295;21321;22412;29065
Veleiro;16273;17247;17459;17935
Jangada;11973;13575;14028;15016
Passageiro / Carga Geral;11573;11686;11628;11622
Carga Geral;8735;10342;10781;11527
Balsa;4856;6612;7008;8432
Passageiro;3643;5812;6383;7680
Saveiro;6082;6715;6883;7177
Draga;5222;6369;6626;7087
Flutuante;3550;4635;5020;5830
Barcaça;3960;4547;4572;4725
Rebocador;3601;3940;3957;4073
Multicasco (Catamarã / Trimarã / Tetramarã / etc);586;1446;1874;3615
Traineira;1792;2308;2509;2913
Caiaque;31;261;650;2743
Empurrador;920;1407;1610;2081
Batelão;795;1318;1442;1555
Jet Boat;658;1004;1092;1318
