uf;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2025
AC;2943;3195;3355;3664;3961;4385;4590;4904;5178;5284;5282;5284;6330
AL;11801;12131;12472;12753;13437;14310;14863;15460;15938;16257;16283;16309;19320
AM;21874;23694;25216;26751;28697;29908;30927;31767;33005;33684;33653;33611;39032
AP;10583;10981;11665;12205;12532;12943;13267;13789;14461;14807;14807;14808;16754
BA;28387;30006;32246;33575;34715;35747;36708;37810;39370;40330;40437;40593;47389
CE;10394;10851;11285;11638;11849;12004;12204;12422;12745;12963;12981;13032;14505
DF;44157;46114;46950;49067;50234;50995;52298;53198;55160;54580;53342;52161;52470
ES;15615;16460;17160;17872;18338;18771;19340;19967;20764;21028;20949;20678;23281
GO;0;0;0;0;0;0;0;0;211;1592;3053;4334;17345
MA;9396;10341;11113;11798;12597;13070;13478;13888;14293;14420;14324;14268;16677
MG;21751;22397;22971;23591;24040;24712;25242;25994;29089;31622;32350;33665;43657
MS;14647;15779;16867;17966;18952;20102;21873;22880;24225;25001;25117;25409;30438
MT;20347;21827;23649;25953;27377;28256;29285;30700;32462;33831;33848;33866;44876
PA;26876;27961;28966;29924;30997;31783;32874;33660;34482;34918;34899;34903;38626
PB;5975;6203;6425;6517;6573;6630;6698;6754;6854;6877;6890;6872;7681
PE;10174;10721;11135;11367;11522;11749;11947;12152;12521;12539;12454;12382;13746
PI;3038;3153;3229;3306;3350;3400;3456;3559;3722;3785;3803;3802;4358
PR;66969;71429;75202;78506;80979;83696;86437;89113;93017;95168;95245;95433;111357
RJ;93855;96766;99234;101862;104047;106245;108375;110043;111652;111479;111008;110268;118098
RN;5416;5634;5838;5955;6034;6109;6198;6304;6587;6707;6708;6698;7441
RO;6430;6872;7293;7809;8246;8624;9083;9678;10616;11141;11157;11172;13909
RR;20;22;26;28;30;38;298;723;942;1104;1130;1151;2209
RS;44923;47405;50145;52157;53681;55093;56508;57977;60365;61728;61855;62125;69867
SC;59392;62528;65930;68608;70932;73392;75714;78417;81318;82051;81583;81040;91740
SE;3336;3528;3690;3799;3868;3944;4063;4194;4397;4472;4445;4403;5398
SP;182452;192351;201792;208275;214443;220806;226838;232792;239154;243520;243236;242569;269744
TO;4548;5110;5788;6315;6928;7329;7695;8230;9147;9969;10039;10052;13811
